Origin,Season,Baking,Variety,MOISTURE,T-N,TFAA,THEANINE,NDF-ASH,TANNIN,CATECHIN,CAFFEINE,T.V.C
O4,S2,,V1+V4,0.0286,0.0345,0.0020,0.0000,0.2750,0.1675,0.1735,0.0290,0.0017
O4,S2,,V2,0.0280,0.0350,0.0020,0.0000,0.2730,0.1680,0.1715,0.0310,0.0013
O4,S2,,V2+V1,0.0284,0.0360,0.0015,0.0000,0.2675,0.1810,0.1780,0.0320,0.0015
O4,S2,,V4,0.0284,0.0355,0.0060,0.0010,0.2720,0.1575,0.1635,0.0280,0.0016
O7,S2,,V2,0.0293,0.0360,0.0115,0.0055,0.3035,0.1265,0.1400,0.0215,0.0019
O7,S2,,V2,0.0331,0.0385,0.0105,0.0045,0.2810,0.1445,0.1550,0.0285,0.0016
O2,S3,,V1,0.0485,0.0375,0.0025,0.0000,0.2820,0.1670,0.1685,0.0320,0.0013
O2,S3,,V1,0.0580,0.0375,0.0055,0.0010,0.2830,0.1540,0.1595,0.0310,0.0016
O2,S3,,V3,0.0620,0.0370,0.0045,0.0005,0.2855,0.1555,0.1595,0.0305,0.0018
O2,S3,,V3,0.0470,0.0365,0.0065,0.0015,0.2980,0.1450,0.1520,0.0275,0.0014
O2,S3,,V3,0.0505,0.0380,0.0090,0.0035,0.2890,0.1430,0.1510,0.0280,0.0015
O2,S3,,V3,0.0485,0.0375,0.0085,0.0025,0.2890,0.1460,0.1520,0.0275,0.0017
O2,S3,,V3,0.0540,0.0370,0.0055,0.0010,0.2860,0.1515,0.1585,0.0300,0.0016
O3,S3,,V1,0.0340,0.0360,0.0045,0.0000,0.2770,0.1645,0.1675,0.0300,0.0020
O3,S3,,V1,0.0350,0.0365,0.0035,0.0000,0.2790,0.1710,0.1720,0.0300,0.0022
O3,S3,,V1,0.0280,0.0370,0.0030,0.0000,0.2720,0.1720,0.1725,0.0310,0.0018
O3,S3,,V1,0.0250,0.0355,0.0040,0.0000,0.2765,0.1685,0.1680,0.0295,0.0020
